"pid","commentsText"
"7788","i have?#+@2013 08 03T04:01:03+0000in just one hour its sold out(adidas)?#+@2013 08 03T05:33:36+0000(ticket #2616437 money not yet received  nobody is responding  1st time buy something from snapdeal and its a bad experience?#+@2013 08 03T05:49:38+0000Expired product       be careful?#+@2013 08 03T05:58:24+0000I want pure game & pulse my name is manu contact me 9958695555 ?#+@2013 08 03T06:04:04+0000u dont have stock all stock of addidas was finished so early  ?#+@2013 08 03T08:10:29+0000wt??? snapdeal   u must b joking   ?#+@2013 08 03T11:17:12+0000"
"7789","Mre ghr pahucha de pase le jana?#+@2013 08 02T18:10:12+0000shipments nt rcievng in kshmir  ny prblm?#+@2013 08 02T18:12:22+0000I recieved my items(books)  But it were xeorx copy not original books  Xeorx marks and ink in many pages  Books page are not as when I brought from shop it is very thin  I think you must display that books are xeorx not original  ?#+@2013 08 03T01:49:02+0000bad product?#+@2013 08 03T15:18:39+0000a big cheat company    don t go even with heavy discounts    a fool will only love their offers    worst service ever experienced   both customer service and delivery    really poor?#+@2013 08 22T16:18:33+0000"
"7792","For losing our money??#+@2013 08 02T04:08:41+0000In the pic you show a double bed mattress and then you sell single bed mattress covers  Cheapos ?#+@2013 08 02T04:13:20+0000Needhi Prabhakar Gupta chk this?#+@2013 08 02T04:39:22+0000snap deal wale chor hai saleee  ?#+@2013 08 02T05:54:04+0000ek no ki fraud or cheater company hai snap deallllll?#+@2013 08 02T05:54:22+0000Do you hv 5/6 size?? inbox?#+@2013 08 02T07:15:46+0000Hi Siddapur  facing any concern? Please share with us the Order details and issue at reachout@snapdeal com and we will surely help you with it  Thanks ?#+@2013 08 02T11:35:57+0000plz share rsnble prize f things on my wll?#+@2013 08 02T16:26:47+0000THIS IS THE WORST ONLINE COMPANY IN THE WORLD 
 Order No  1125867388 (which was never shipped)  Now not even acknowledging my Cancellation request  THEY ARE CHEATS   GUYS DONT BUY  ONCE YOU MAKE A TRANSACTION  YOUR MONEY IS GONE  THEY HAVE THE MOST PATHETICE CUSTOMER SERVICE IN THE WORLD     ?#+@2013 08 02T17:04:02+0000"
"7798","letere :p?#+@2013 07 31T07:34:39+0000"
"7800","Same thing to reliance signal also   ?#+@2013 07 31T17:35:05+0000 if onli i cud whisper to my MTS modem :V?#+@2013 07 31T17:42:43+0000Am whispering to bsnl wifi?#+@2013 07 31T18:45:43+0000:v?#+@2013 08 01T02:37:02+0000Make my WiFi strong    I ordered a tp link router on Ur site    Deliver it soon plZ    I m missing it?#+@2013 08 01T07:22:01+0000Hi Deepak  please share with us the Order details and we will help you with the shipping details  Thanks ?#+@2013 08 01T11:23:04+0000"
"7801","Snapdeal not sending good products  They sending only defected products     after that no response?#+@2013 07 31T03:15:05+0000horrible?#+@2013 07 31T10:39:15+0000Hi Radhika  Selvan & Ashok we are very sorry incase you are facing any concern? We would request you to please share with us the issue and Order details at reachout@snapdeal com and our team will help you with it  Thanks ?#+@2013 08 01T11:27:36+0000@sohit satyawali hey u dont any job other than posting this comment in every wall post     ?#+@2013 08 03T09:38:31+0000ye sab hatao    aur batao mera jeans kab pochega????#+@2013 08 07T14:39:54+0000Hi Ashok sorry for this  But don t worry we have already refunded your money via NEFT  Thanks  : )?#+@2013 08 16T04:18:40+0000But  not the courier charges Rs 150 00 as per your email  Snapdeal?#+@2013 08 16T04:19:57+0000wo    aur ek dhoka thank God i did not courier myself  i knew these misers wouldnt refund the courier?#+@2013 08 16T07:20:40+0000"
"7802","lol :P?#+@2013 07 30T13:38:33+0000Bakwas site?#+@2013 07 31T02:51:50+0000"
"7803","gudd?#+@2013 07 30T09:20:02+0000You lost ur 1 customer?#+@2013 07 30T09:46:42+0000how?#+@2013 07 30T09:54:17+0000Ek costumer gaya@ i have 0%  money yar@?#+@2013 07 30T11:29:15+0000"
"7804","snap deal is selling food salt in this bottel  fraud website?#+@2013 07 30T05:03:42+0000BATH SALT :? @ @?#+@2013 07 30T05:13:34+0000Hi Kannan  this a bath salt use for bathing purposes  It relieves body of stress  muscle aches  anxiety and offers a very soothing experience ?#+@2013 07 31T08:00:58+0000u selling one for 99 or four for 99??#+@2013 07 31T19:45:47+0000Is this available rgt now  ?? I need it for my mom  ?#+@2013 08 03T17:33:49+0000"
"7806","Really fraud hai snapdeal?#+@2013 07 29T14:53:42+0000Hi Anand  facing any concern? Please share with us the Order details and issue at reachout@snapdeal com and we will immediately help you with this  Thanks ?#+@2013 07 31T08:09:45+0000"
"7808","bakwaas h snapdeal or inke offers ?#+@2013 07 29T08:15:52+0000snap deal is worst  ?#+@2013 07 29T09:02:03+0000the american swan products under this section are still not equipped to take in the discounts can someone please look into that 
i really want to get some stuff?#+@2013 07 29T18:58:22+0000Hi Nadeem  facing any concern? Please share with us the Order details at reachout@snapdeal com so that we can help you with your issue  Thanks ?#+@2013 07 31T08:25:43+0000Hi Nannu  facing any concern? Please share with us the Order details at reachout@snapdeal com so that we can help you with your issue  Thanks ?#+@2013 07 31T08:27:10+0000plz share some suits range?#+@2013 08 02T16:23:17+0000"
"7809","Ye kaise kiya sanju??#+@2013 07 29T05:58:07+0000[[angle]]?#+@2013 07 29T05:59:17+0000Buy I jeans for me pls?#+@2013 07 29T06:48:30+0000i order 8 jeans?#+@2013 07 29T08:40:57+0000"
"7812","THIS IS THE WORST ONLINE COMPANY IN THE WORLD 
 Order No  1125867388 (which was never shipped)  Now not even acknowledging my Cancellation request  THEY ARE CHEATS   GUYS DONT BUY  ONCE YOU MAKE A TRANSACTION  YOUR MONEY IS GONE  THEY HAVE THE MOST PATHETICE CUSTOMER SERVICE IN THE WORLD     ?#+@2013 08 02T17:06:01+0000"
"7814","fake site?#+@2013 07 27T17:31:07+0000Not fake its real?#+@2013 07 27T17:31:52+0000I need  ?#+@2013 07 27T17:46:21+0000150 me deni ho to bolo  ?#+@2013 07 27T17:50:31+0000Ew
Wwwww
Wwwwwwwww               vv          vvbvvvvvvvb    b?#+@2013 07 27T17:55:20+0000its fake sanjay   ?#+@2013 07 27T18:16:58+0000gud?#+@2013 07 31T11:10:22+0000"
"7815","Brace yourself husbands your cred card is going down :P?#+@2013 07 27T15:21:28+0000STILL WAITING for CRAPDEAL to refund my money>>> Its Been more than 3 months                                                        ?#+@2013 07 27T16:13:02+0000SnapdealNot working   i just tried buying a Gold Chain  shows not applicable on this catagory  how come you ve mentioned here for all Jewellery    ?#+@2013 07 27T16:21:50+0000yes dont belive in any cash back offer from snap deal  they are really making false promises for faster sale i will never do shopping again on snap deail?#+@2013 07 28T14:21:43+0000"
"7818",""
"7822","Kindly deliver the order I placed 8 days ago  Your executives keep telling me that it will be delivered today since 4 days     expected delivery was on 22nd of July and you talk about express delivery    fake promises ?#+@2013 07 26T18:24:16+0000Superb Joke  Thanx Snapdeal ?#+@2013 07 26T19:10:36+0000snapdeal s courier service is the worst in the whole industry   ?#+@2013 07 27T03:11:52+0000Very nice   ?#+@2013 07 27T04:06:28+0000This sarvice is a very good ; )?#+@2013 07 27T04:23:02+0000"
"7826","Fb par bhi dukan chalate ho kya?#+@2013 07 24T05:22:00+0000They sell faulty products  Do not ever buy a product from them     ?#+@2013 07 24T05:33:22+0000Dear Snapdeal i am Loyal and regular buyer of your website      *

This is my order id
1130228671

And i am absolutely surprised when it showing me the estimated shipping
date is 31st July 2013 for my Micromax Phone  I purchased with you because
i expected that you guys will make the faster delivery as like
flipkart com  Coz i really really appreciated the
flipkart com delivery they absolutely delivered the items within 5 working
days Since order     AND HERE YOU ARE SHOWING ME THAT 31ST JULY SHIPPING
DATE   is this correct way to sustain in today s cut throat competitions
among the online portals 

Please improve it and try to deliver my UNDER said ordered items till 27th
July at least  SO I CAN THINK NEXT TIME FOR YOU INSTEAD OF FLIPKART COM  
else we have to find out another option like saholic com which promises to
deliver the shipments within 5 working days  failure on which
saholic compays the amount  ?#+@2013 07 24T05:56:39+0000they cancel order as well?#+@2013 07 24T07:24:19+0000i agree with u    Neetu Sharma?#+@2013 07 24T07:25:57+0000S no	 Item name	 Item Code / Voucher(s)	 Status	 Unit Price	 Quantity	 Price	 Pre order
Amount	 Subtotal
1	Asus Vivobook S550CM CJ054H Ultrabook (Intel Core i5 3317U  4GB RAM  750 GB HDD 24 GB SSD  15 6 Inch  Win8  2GB Graph TOUCH) (Black)
Free: 3/6 Month EMI Option with ZERO% Interest & ZERO Processing fee 
1402446851	
 Cancelled
Rs  24842	 1	 Rs  24842	 N/A	 Rs  24842?#+@2013 07 24T07:40:35+0000Hey All   instead why dont u switch over to Oriflame prods   Iam a supplier of Oriflame prods all over India   pls inbox me for any prods or queries  n i shall help u choose the right product for ur skin ?#+@2013 07 24T07:42:59+0000Hi my refunds for order no 1062903417 complaint no  2496749 and order no 1099437977 are still pending I have made repeated calls but still no refund This is not expected of snapdeal Please do the needful  Thank you?#+@2013 07 26T11:37:04+0000ppl don t buy even if they sell it for Re  1   bahut hi bakwas website hai  ppl do not purchase from this website  main 100 baal call kar chuka hoon mere 3000 nahin wapis de rahe hain   itni bakwas web shopping site nahin dekhi maine?#+@2013 07 30T12:40:02+0000ur service is so poor?#+@2013 07 30T18:17:32+0000"
"7828","ORDER NUMBER   1097016873

TICKET NUMBER   2523544

COURIER AWB   59128104895 
kiya hua mera product kaa?#+@2013 07 23T19:35:37+0000Dear Snapdeal i am Loyal and regular buyer of your website      *

This is my order id
1130228671

And i am absolutely surprised when it showing me the estimated shipping
date is 31st July 2013 for my Micromax Phone  I purchased with you because
i expected that you guys will make the faster delivery as like
flipkart com  Coz i really really appreciated the
flipkart com delivery they absolutely delivered the items within 5 working
days Since order     AND HERE YOU ARE SHOWING ME THAT 31ST JULY SHIPPING
DATE   is this correct way to sustain in today s cut throat competitions
among the online portals 

Please improve it and try to deliver my UNDER said ordered items till 27th
July at least  SO I CAN THINK NEXT TIME FOR YOU INSTEAD OF FLIPKART COM  
else we have to find out another option like saholic com which promises to
deliver the shipments within 5 working days  failure on which
saholic compays the amount  ?#+@2013 07 24T05:56:44+0000I have called your customer care around 50 times still no avail  
Forwarded you unlimited no  of emails         All they ever say is we are sorry  give us 48 72 hrs     disgusting ppl  its already been more than 2 months that for your information is 1344 hrs   U are cheaters    u sell faulty products and do not attend to complaints thereafter 

And after that transfer SD Cash in a/c ore jab use use karne lago toh pdt hi cancel kar dete ho   

Order ID : 1104199108 (ticket #2592609)

2) Complaint number: 2193919

I want solution ASAP ?#+@2013 07 24T08:06:45+0000it s a fraud website  all are theif run by the company ?#+@2013 07 24T12:27:30+0000"
"7830","https://fbcdn sphotos f a akamaihd net/hphotos ak prn2/1044291_10201420418012073_1807988936_n jpg?#+@2013 07 23T10:51:34+0000Hi 
I had ordered a Fossil Rose Brown Dial Steel Watch vide Order No  1105012050 on 11th July 2013 and I have still not recieved it  Does it take 12 days to deliver a watch and what sort of sevice is snapdeal com providing  People are willing to buy goods online because of ease of getting them at home but waiting for 12 days for one good is completely hopeless and it and it defeats the whole purpose of buying things online  
I want some one to get back to me regarding the same 

Rohan Madan
+91 9999989924?#+@2013 07 23T11:32:05+0000They are cheaters     they sell faulty products and do not attend to complaints thereafter         CHEATERS                ?#+@2013 07 23T17:59:21+0000I have called your customer care around 50 times still no avail  
Forwarded you unlimited no  of emails         All they ever say is we are sorry  give us 48 72 hrs     disgusting ppl  its already been more than 2 months that for your information is 1344 hrs   U are cheaters    u sell faulty products and do not attend to complaints thereafter 

And after that transfer SD Cash in a/c ore jab use use karne lago toh pdt hi cancel kar dete ho   

Order ID : 1104199108 (ticket #2592609)

2) Complaint number: 2193919

I want solution ASAP ?#+@2013 07 24T08:07:10+0000"
"7831","Order no 1111257982  is cancelled after 10 days  and you still saying that you provide the best of service for your valued customers  To hell with your service?#+@2013 07 23T04:08:56+0000http://bit ly/Kids Clothing?#+@2013 07 23T04:17:42+0000My Request No  2287671 under the user id priyanshu84@yahoo com has not been resolved since last one and a half month     PATHETIC SERVICES     ?#+@2013 07 23T05:54:25+0000Divya Ranjith Reema Suresh :)?#+@2013 07 23T06:48:20+0000@Ashish Chinna saale hai hi kamine snapdeal wale?#+@2013 07 23T10:52:28+0000Hi 
I had ordered a Fossil Rose Brown Dial Steel Watch vide Order No  1105012050 on 11th July 2013 and I have still not recieved it  Does it take 12 days to deliver a watch and what sort of sevice is snapdeal com providing  People are willing to buy goods online because of ease of getting them at home but waiting for 12 days for one good is completely hopeless and it and it defeats the whole purpose of buying things online  
I want some one to get back to me regarding the same 

Rohan Madan
+91 9999989924?#+@2013 07 23T11:32:14+0000bakwas h bhai            ?#+@2013 07 23T12:06:15+0000They sell faulty products    CHEATERS         ?#+@2013 07 23T18:00:26+0000Hi my refunds for order no 1062903417 complaint no  2496749 and order no 1099437977 are still pending I have made repeated calls but still no refund This is not expected of snapdeal Please do the needful  Thank you?#+@2013 07 26T11:38:29+0000"
"7832","worst tablets ever?#+@2013 07 22T17:46:52+0000y?#+@2013 07 22T19:10:01+0000am so many products are purchase?#+@2013 07 22T19:10:25+0000My Request No  2287671 under the user id priyanshu84@yahoo com has not been resolved since last one and a half month     PATHETIC SERVICES     ?#+@2013 07 23T05:54:34+0000am so many products are purchase
9907564475 call me?#+@2013 07 23T07:13:20+0000https://fbcdn sphotos f a akamaihd net/hphotos ak prn2/1044291_10201420418012073_1807988936_n jpg?#+@2013 07 23T10:52:48+0000"
"7834","man ll u replay fr me?#+@2013 07 22T07:57:40+0000Dear sir 
 Order no : 1060202403
As I have shiped the product to you by firstflight courier AWB no was MG0199082 and I paid Rs 205  I have already sent you copy of courier bill/receipt but till date you have not reimburse me my reverse shipment charge  More than 15 days have passed 
Once again I have mailed you copy of courier receipt for your ready reference today 

Please do needful to reimburse me Rs 205 as reverse shiping charge at earliest 

Thanks 

Piyush Pathak?#+@2013 07 22T09:28:49+0000chor deal?#+@2013 07 22T09:34:41+0000get 7 5% cashback if you shop through this link    http://cashkaro com/r=50730?#+@2013 07 22T12:06:56+0000fraud web site?#+@2013 07 22T13:10:04+0000Do not buy anything from Snapdeal  They provides duplicate or old or tampered product  Also they will never refund you the money for sending faulty products  After paying the money you will have nothing to do  Just avoid snapdeal ?#+@2013 07 22T17:10:22+0000Hi 
I had ordered a Fossil Rose Brown Dial Steel Watch vide Order No  1105012050 on 11th July 2013 and I have still not received it  Does it take 12 days to deliver a watch and what sort of service is snapdeal com providing  People are willing to buy goods online because of ease of getting them at home but waiting for 12 days for one good is completely hopeless and it and it defeats the whole purpose of buying things online  
I want some one to get back to me regarding the same 

Rohan Madan
+91 9999989924?#+@2013 07 23T11:31:46+0000Cheaters         ?#+@2013 07 23T18:03:21+0000"
"7836","no like snap deal?#+@2013 07 21T17:36:15+0000HW much??#+@2013 07 21T18:24:04+0000snapdeal is fraud?#+@2013 07 22T07:31:04+0000Do not buy anything from Snapdeal  They provides duplicate or old or tampered product  Also they will never refund you the money for sending faulty products  After paying the money you will have nothing to do  Just avoid snapdeal ?#+@2013 07 22T17:10:37+0000YE RIGHT?#+@2013 07 23T11:13:11+0000"
"7837","order maat karo?#+@2013 07 21T12:15:30+0000vareyo vareyo?#+@2013 07 21T12:23:10+0000 ??????    ?? ????? ?????#+@2013 07 21T15:39:33+0000I LIK CK              ?#+@2013 07 21T16:49:45+0000fraud not buying?#+@2013 07 22T07:31:19+0000Hi Shrisha  we are sorry incase you are facing any problem  Can you please share with us the Order details and we will help you with it right away  Thanks ?#+@2013 07 23T11:04:08+0000Dear Snapdeal i am Loyal and regular buyer of your website      *

This is my order id
1130228671

And i am absolutely surprised when it showing me the estimated shipping
date is 31st July 2013 for my Micromax Phone  I purchased with you because
i expected that you guys will make the faster delivery as like
flipkart com  Coz i really really appreciated the
flipkart com delivery they absolutely delivered the items within 5 working
days Since order     AND HERE YOU ARE SHOWING ME THAT 31ST JULY SHIPPING
DATE   is this correct way to sustain in today s cut throat competitions
among the online portals 

Please improve it and try to deliver my UNDER said ordered items till 27th
July at least  SO I CAN THINK NEXT TIME FOR YOU INSTEAD OF FLIPKART COM  
else we have to find out another option like saholic com which promises to
deliver the shipments within 5 working days  failure on which
saholic compays the amount  ?#+@2013 07 24T05:58:46+0000Had ordered a INR 64 000 Nikon camera from Snapdeal on Apr 26  they said  promised shipping date Apr 29  then delayed it to May 2  it s May 4 now  and the customer care who couldn t care less about the customer  still has no clue of when it will be shipped let alone delivered  This is ridiculous in a day of 1 day delivery by Flipkart and Amazon       a very frustrating experience  They say they have no stock and yet they had the product online  took my money and keep shifting the promised shipment date  post which it could take 4 7 days to reach me  They don t even have a simple cancellation policy  Worst online shopping experience ever  Don t buy from Snapdeal  they don t care about you and they don t know the meaning of  promise   Now  customer care says we will discuss with our team by Monday evening  which is May 5 and confirm when the product can be shipped  Think Snapdeal should either sell out or shut their business  they are simply incorrigible  They promised to deliver after I wrote to the CEO and then 1 day later cancelled  siting that the product is out of stock ?#+@2014 05 05T14:28:26+0000"
"7839","Loss of snapdeal?#+@2013 07 20T17:33:33+0000snapdeal bekar h kuch mat purchase karna cx service sucks?#+@2013 07 20T18:18:02+0000fo :D?#+@2013 07 21T04:50:08+0000lvly tapan it is fake?#+@2013 07 21T04:51:20+0000chor bhainkeadea hai snapdeal walea dny buy ny thng?#+@2013 07 21T07:05:55+0000do not buy its fraud?#+@2013 07 22T07:31:38+0000Do not buy anything from Snapdeal  They provides duplicate or old or tampered product  Also they will never refund you the money for sending faulty products  After paying the money you will have nothing to do  Just avoid snapdeal ?#+@2013 07 22T17:11:02+0000"
"7844","read reviews before placing orders on snapdeal  http://www mouthshut com/product reviews/snapdealcom reviews 925602969 sort MsDate order d page 3?#+@2013 07 20T05:00:17+0000first give proper response to client  then u sell anything else ?#+@2013 07 20T07:00:57+0000"
"7845","how???#+@2013 07 19T10:13:59+0000Snapdeal?#+@2013 07 19T10:15:39+0000focus on delivering products and resolving customer issues   rather than these posts   ?#+@2013 07 19T17:46:57+0000no job    no money    can snapdeal get me a credit card?????#+@2013 07 19T18:39:03+0000http://www mouthshut com/product reviews/snapdealcom reviews 925602969 sort MsDate order d page 3?#+@2013 07 20T05:00:24+0000"
"7846","looked it ?#+@2013 07 19T04:31:13+0000Yet another crapdeal  ?#+@2013 07 19T04:50:46+0000thats my name   and that guy is similarly fat like me :P?#+@2013 07 19T06:13:06+00009822511420 coll?#+@2013 07 19T06:15:36+0000what s that?#+@2013 07 19T06:48:19+00000h dear ?#+@2013 07 19T07:08:29+0000its my name on it?#+@2013 07 19T14:50:38+0000"
"7863","nice to given to understand by simple people who trust this type froud online shops ?#+@2013 07 16T11:42:35+0000combo hookah pot my mobile num 9000184507 i want s d cash my i d (saihellangle115@gmail com) i dnt got s d cash bt customer care ppl r saying tht dey have snd the s d cash bt till nw i dnt got s d cash frm last mnth 10th?#+@2013 07 16T14:11:52+0000frndss plz don not buy any product from snap deal    this company is totally fruad n cheaterrr            do not buy a single pin from snap deal         they are crapdeal daciots theives robberssss?#+@2013 07 17T06:45:46+0000Hi everyone you all should know what a forge company snapdeal is  First they deliver wrong product and then after 20 days they say they cant 

to pick up the same as the area doesnt cover under thier courier service How did they sent the order in first place 

First of all I got atleast 6 replies in these 20 days saying they are coming to pick up the product but they never show up even once   

Highly ignorant and insensitive behavior of them When I placed order they readily deliver in time but when the product was falty they dont 

want to come and collect this is thier outstanding after sales service They think common man won t raise voice and they can cheat anyone and 

everyone  The same issue was encountered with couple of my collegues too and they resolved it with pain and took a months time  This company 

doesnt deserves loyal customers  Seriously guys do not shop from here your trust will be hammered 

I had been a regular customer of snapdeal so I was patient and thought they would take action but they never did  I have been harressed by 

Snapdeal for order number 1040718350 complaint number 2363603 for 20 days  Amit Srivastav  Honey Chopra  Namrata Das  peoples name keep 

changing to assist but no one has taken action Its your choice guys if you want to go for this forge companty I seriosly pity the people who 

work for this company  Or should I say the company who works with such people who do nothing to help thier customers These people will make 

your trust ruin for online shopping  The online authorities should discontinue this site ?#+@2013 07 18T08:54:37+0000agreed?#+@2013 07 18T15:40:47+0000"
"7864","aletta ocean? :p?#+@2013 07 14T10:32:06+0000Nice Advice :)?#+@2013 07 14T11:27:06+0000nice?#+@2013 07 15T07:29:18+0000combo hookah pot my mobile num 9000184507 i want s d cash my i d (saihellangle115@gmail com) i dnt got s d cash bt customer care ppl r saying tht dey have snd the s d cash bt till nw i dnt got s d cash frm last mnth 10th?#+@2013 07 16T14:11:58+0000frndss plz don not buy any product from snap deal    this company is totally fruad n cheaterrr            do not buy a single pin from snap deal         they are crapdeal daciots theives robberssss?#+@2013 07 17T06:45:50+0000Hi everyone you all should know what a forge company snapdeal is  First they deliver wrong product and then after 20 days they say they cant 

to pick up the same as the area doesnt cover under thier courier service How did they sent the order in first place 

First of all I got atleast 6 replies in these 20 days saying they are coming to pick up the product but they never show up even once   

Highly ignorant and insensitive behavior of them When I placed order they readily deliver in time but when the product was falty they dont 

want to come and collect this is thier outstanding after sales service They think common man won t raise voice and they can cheat anyone and 

everyone  The same issue was encountered with couple of my collegues too and they resolved it with pain and took a months time  This company 

doesnt deserves loyal customers  Seriously guys do not shop from here your trust will be hammered 

I had been a regular customer of snapdeal so I was patient and thought they would take action but they never did  I have been harressed by 

Snapdeal for order number 1040718350 complaint number 2363603 for 20 days  Amit Srivastav  Honey Chopra  Namrata Das  peoples name keep 

changing to assist but no one has taken action Its your choice guys if you want to go for this forge companty I seriosly pity the people who 

work for this company  Or should I say the company who works with such people who do nothing to help thier customers These people will make 

your trust ruin for online shopping  The online authorities should discontinue this site ?#+@2013 07 18T08:54:40+0000agreed?#+@2013 07 18T15:40:57+0000"
"7865","Snapdeal COD is  available in dis code 176215?#+@2013 07 14T08:25:50+0000Dont buy anything from sd    Worst  ?#+@2013 07 14T12:01:24+0000I don t think they really lie   I recently bought Bike Gloves  Antivirus  Swiss Military key ring and a pen drive    it s good   (Y)?#+@2013 07 14T13:32:40+0000oh no?#+@2013 07 14T17:51:49+0000frndss plz don not buy any product from snap deal    this company is totally fruad n cheaterrr            do not buy a single pin from snap deal         they are crapdeal daciots theives robberssss?#+@2013 07 17T06:45:58+0000"
"7867","Ayush Bhatnagar?#+@2013 07 13T17:37:57+0000its 500 gb  ?#+@2013 07 13T17:38:37+0000My Snapdeal Order:
1106617034 is still in process 
placed order for dell 1 TB Backup plus 
i dint recieved any confirmation even after 3 days 
COD is also nt available for my location :(?#+@2013 07 13T20:13:49+0000size  ???#+@2013 07 14T06:10:41+0000Issuessnapdeal   please post your issues  feedback  difficulty in dealing with snapdeal ?#+@2013 07 14T07:33:46+0000Hi Uday  we totally understand you are facing a concern but we are unable to proceed further with it as we do not have the Order details with us  Please share the Order details here and we will arrange a call back for you ?#+@2013 07 16T13:46:04+0000Hi Saurav  your Order has been shipped from our end via First Flight courier services AWB number: O99574398  The estimated delivery date is 19th July  While we are able to provide the COD option in many locations we are still expanding it and eventually we will have it available across the country  Thanks for shopping with us ?#+@2013 07 16T13:51:03+0000frndss plz don not buy any product from snap deal    this company is totally fruad n cheaterrr            do not buy a single pin from snap deal         they are crapdeal daciots theives robberssss?#+@2013 07 17T06:46:13+0000"
"7868","Wow?#+@2013 07 13T13:31:17+0000Wonderful    ?#+@2013 07 13T13:32:11+0000Wow yar kash us ladke ki jagah me hota?#+@2013 07 13T13:36:45+0000So amazing   beautiful snap   ?#+@2013 07 13T18:22:45+0000like this?#+@2013 07 13T19:38:49+0000Nice picture?#+@2013 07 14T13:17:48+0000 If you are looking to buy a product online   pricegenie  have created a system where in you just put the product you want to buy and they show you the lowest and exact price of the product with prices on each store  they also show information like coupons  shipping time and cost   Wow   So what are you waiting for? SUPPORT THEM BY LIKING THEIR PAGE:  http://tiny cc/sak   And get regular updates ?#+@2013 07 16T09:43:55+0000frndss plz don not buy any product from snap deal    this company is totally fruad n cheaterrr            do not buy a single pin from snap deal         they are crapdeal daciots theives robberssss?#+@2013 07 17T06:46:16+0000Nice picture?#+@2013 07 25T08:15:39+0000Amazzzzzzzzzzzzzzzzzzzzzzzzing     ?#+@2013 07 26T03:03:37+0000"
"7870","Very nice  ?#+@2013 07 13T08:05:04+0000Ticket no  2444224   Order ID 1060202403 Approved return by you returned product already received by you When will I get refund? I have already sent you courier charges receipt by mail When will you credit the same??#+@2013 07 13T09:37:38+0000Inbox me da price pls  ?#+@2013 07 13T10:25:07+0000have placed an order on  30th May2013 and my order number(ID) is 1019564810 and complaint number is 2253198  actually i have ordered for a combo offer which contains three different products  but i received only one of it  In spite of  repeated conversation and repeated calls and mails to your concern i received the statement  as you will be receiving the missed product soon  and suddenly one fine day (24th June 2013) there was a mail from your side  to return the product   with original brand packaging   and if the product un avails   i shall get back the money  Is this the way you treat the customers who buy products  regularly ??? This kind of issues happened with my friends too many times as i m in to social media field i know how to demoralize your concern through it you will meet the consequences soon  if it continuous like this  How come you can ask After one month the product back?  i don t have the product with me  now  tell me what i can do  either return my amount for the other two products which is missed or else send me the missed out products which ever i ordered    

I can t return the product  i have gifted it to other person  So let me know whats next??#+@2013 07 13T11:22:44+0000@piyush Pathak they wont respond you  keep trying  TRY TRY TRY till you get it:)?#+@2013 07 13T11:25:33+0000Hi  

Please share this if you want to spread the awareness about the harassment likely to happen with 

your purchase with Snapdeal 

Please go through my first and undoubtedly the last experience with Snapdeal as narrated below:

Order details:

Order Id: 1054757615 
Order placed on: 16th June  2013  4:47 PM 
Item name: Samsung Galaxy S Duos S7562 White 
Amount is already paid

This has still not been delivered to the shipping address in Kokata as I am writing this note on 

11th July  close to one month after I placed the order  

I have called up Snapdeal helpline at least ten times as per the following details: 

1  For first few days  every time I called I was told to wait for 24 hours by when the product 

will be delivered  

2  When it was not delivered  I checked with the courier  First Flight directly and came to know 

that the item is caught in Kolkata airport customs because of non payment of sales tax duty and 

the product will be released only after the court hearing which will take more than a month  

3  When I got back to Snapdeal with this information and asked for a refund  they finally 

acknowledged it and said refund will be initiated within 48 hours and I will get a confirmation 

on the same  but it will take further 7 to 10 days to get the money back  This happened on 5th 

July  

4  I have not yet got any revert  When I called them today  finally they are saying they have to 

get the product back to their warehouse before they can initiate the refund  

Not only that  I bought this phone to send to my dad as a gift and now this is a huge 

embarrassment to me  because my dad  being from the older generation doesn t believe in the 

credibility of eCommerce and now Snapdeal has fantastically justified his credence to this 

cynicism ?#+@2013 07 13T15:10:14+0000@ suvo ghosh   you must complain on consumer forum   at www core nic in?#+@2013 07 13T15:48:36+0000very nice?#+@2013 07 13T16:48:06+0000"
